Data,Total,1D,2D,3D,4D
Jul-12,"4,562","4,088","4,549","4,707","5,876"
Aug-12,"4,514","4,109","4,435","4,711","5,718"
Sep-12,"4,494","4,151","4,364","4,723","5,683"
Oct-12,"4,518","4,300","4,356","4,738","5,564"
Nov-12,"4,594","4,502","4,408","4,775","5,661"
Dec-12,"4,603","4,571","4,393","4,782","5,687"
Jan-13,"4,652","4,689","4,419","4,814","5,790"
Feb-13,"4,744","4,730","4,548","4,898","5,827"
Mar-13,"4,845","4,806","4,695","4,960","5,880"
Apr-13,"4,915","4,819","4,797","5,028","5,908"
May-13,"4,905","4,750","4,804","5,023","5,981"
Jun-13,"4,934","4,698","4,856","5,068","6,039"
Jul-13,"4,977","4,725","4,894","5,122","6,128"
Aug-13,"5,032","4,747","4,921","5,224","6,244"
Sep-13,"5,108","4,815","4,952","5,355","6,352"
Oct-13,"5,205","4,891","5,031","5,474","6,594"
Nov-13,"5,327","5,038","5,155","5,578","6,729"
Dec-13,"5,428","5,168","5,261","5,649","6,884"
Jan-14,"5,513","5,244","5,362","5,728","6,927"
Feb-14,"5,538","5,307","5,374","5,736","7,007"
Mar-14,"5,562","5,379","5,391","5,728","7,099"
Apr-14,"5,555","5,406","5,397","5,682","7,079"
May-14,"5,559","5,469","5,381","5,675","7,035"
Jun-14,"5,574","5,494","5,392","5,699","6,964"
Jul-14,"5,612","5,595","5,387","5,750","6,950"
Aug-14,"5,666","5,662","5,444","5,793","6,975"
Sep-14,"5,706","5,728","5,484","5,821","6,991"
Oct-14,"5,675","5,706","5,451","5,785","6,959"
Nov-14,"5,651","5,698","5,431","5,751","6,885"
Dec-14,"5,635","5,682","5,430","5,719","6,847"
Jan-15,"5,678","5,755","5,488","5,729","6,835"
Feb-15,"5,606","5,714","5,385","5,663","6,853"
Mar-15,"5,721","5,810","5,532","5,756","6,944"
Apr-15,"5,781","5,886","5,607","5,782","7,032"
May-15,"5,882","6,012","5,731","5,843","7,093"
Jun-15,"6,010","6,077","5,903","5,952","7,247"
Jul-15,"6,155","6,189","6,076","6,083","7,418"
Aug-15,"6,183","6,105","6,109","6,161","7,591"
Sep-15,"6,163","5,806","6,209","6,187","7,580"
Oct-15,"6,134","5,793","6,138","6,193","7,600"
Nov-15,"6,099","5,789","6,057","6,199","7,530"
Dec-15,"6,107","5,892","6,003","6,218","7,540"
Jan-16,"6,164","5,950","6,053","6,285","7,581"
Feb-16,"6,224","6,012","6,106","6,355","7,598"
Mar-16,"6,265","5,987","6,135","6,447","7,737"
Apr-16,"6,274","5,966","6,121","6,503","7,793"
May-16,"6,272","5,970","6,086","6,537","7,801"
Jun-16,"6,267","6,002","6,067","6,532","7,691"
Jul-16,"6,298","6,079","6,092","6,547","7,667"
Aug-16,"6,357","6,132","6,148","6,602","7,811"
Sep-16,"6,375","6,135","6,154","6,636","7,914"
Oct-16,"6,389","6,118","6,163","6,667","8,035"
Nov-16,"6,391","6,114","6,149","6,691","8,063"
Dec-16,"6,392","6,117","6,145","6,692","8,112"
Jan-17,"6,391","6,138","6,132","6,689","8,112"
Feb-17,"6,399","6,139","6,142","6,699","8,112"
Mar-17,"6,400","6,111","6,160","6,699","8,127"
Apr-17,"6,423","6,097","6,201","6,729","8,116"
May-17,"6,432","6,076","6,231","6,734","8,117"
Jun-17,"6,465","6,132","6,244","6,782","8,097"
Jul-17,"6,506","6,216","6,255","6,834","8,124"
Aug-17,"6,549","6,352","6,254","6,874","8,100"
Sep-17,"6,589","6,459","6,264","6,909","8,097"
Oct-17,"6,624","6,555","6,298","6,906","8,085"
Nov-17,"6,656","6,615","6,353","6,893","8,070"
Dec-17,"6,670","6,640","6,395","6,865","8,067"
Jan-18,"6,696","6,634","6,449","6,883","8,079"
Feb-18,"6,719","6,611","6,467","6,941","8,126"
Mar-18,"6,739","6,582","6,488","6,995","8,139"
Apr-18,"6,740","6,606","6,476","7,003","8,083"
May-18,"6,739","6,685","6,453","6,982","8,009"
Jun-18,"6,737","6,777","6,428","6,948","7,966"
Jul-18,"6,709","6,813","6,351","6,928","7,986"
Aug-18,"6,676","6,703","6,344","6,913","7,989"
Sep-18,"6,713","6,710","6,392","6,957","8,025"
Oct-18,"6,725","6,713","6,416","6,966","7,999"
Nov-18,"6,768","6,778","6,466","6,989","8,001"
Dec-18,"6,743","6,774","6,437","6,960","7,927"
Jan-19,"6,794","6,842","6,498","6,999","7,838"
Feb-19,"6,862","7,040","6,537","7,020","7,802"
Mar-19,"6,906","7,130","6,569","7,049","7,805"
Apr-19,"6,922","7,108","6,610","7,059","7,848"
May-19,"6,917","7,007","6,651","7,065","7,855"
Jun-19,"6,926","6,965","6,691","7,070","7,848"
Jul-19,"6,929","6,939","6,705","7,079","7,863"
Aug-19,"6,912","6,956","6,645","7,090","7,876"
Sep-19,"6,908","7,004","6,583","7,117","7,930"
Oct-19,"6,928","7,078","6,553","7,162","7,952"
Nov-19,"6,946","7,096","6,559","7,193","8,009"
Dec-19,"6,966","7,124","6,581","7,201","8,046"
Jan-20,"7,006","7,186","6,624","7,221","8,067"
Feb-20,"7,058","7,247","6,694","7,247","8,074"
Mar-20,"7,121","7,304","6,793","7,279","8,052"
Apr-20,"7,188","7,347","6,895","7,325","8,059"
May-20,"7,222","7,338","6,968","7,344","8,059"
Jun-20,"7,255","7,314","7,023","7,394","8,088"
Jul-20,"7,290","7,334","7,059","7,447","8,064"
Aug-20,"7,314","7,335","7,071","7,504","8,087"
Sep-20,"7,321","7,327","7,091","7,512","8,049"
Oct-20,"7,333","7,318","7,121","7,512","8,097"
Nov-20,"7,380","7,396","7,171","7,530","8,133"
Dec-20,"7,455","7,534","7,243","7,561","8,212"
Jan-21,"7,521","7,605","7,317","7,615","8,238"
Feb-21,"7,587","7,678","7,371","7,697","8,258"
Mar-21,"7,649","7,701","7,422","7,807","8,302"
Apr-21,"7,738","7,830","7,483","7,903","8,361"
May-21,"7,844","7,979","7,581","7,997","8,403"
Jun-21,"7,943","8,120","7,650","8,111","8,423"
Jul-21,"8,070","8,258","7,758","8,270","8,428"
Aug-21,"8,187","8,380","7,870","8,395","8,485"
Sep-21,"8,300","8,515","7,978","8,499","8,597"
Oct-21,"8,393","8,617","8,073","8,580","8,696"
Nov-21,"8,495","8,700","8,175","8,705","8,743"
Dec-21,"8,628","8,796","8,334","8,849","8,732"
Jan-22,"8,734","8,892","8,455","8,958","8,699"
